iter	Passed	Remaining
795	2687	688
796	2688	684
797	2689	680
798	2691	676
799	2692	673
800	2693	669
801	2694	665
802	2695	661
803	2696	657
804	2698	653
805	2699	649
806	2701	646
807	2702	642
808	2704	638
809	2706	634
810	2707	630
811	2708	627
812	2709	623
813	2710	619
814	2712	615
815	2714	611
816	2715	608
817	2716	604
818	2718	600
819	2719	596
820	2720	593
821	2721	589
822	2722	585
823	2723	581
824	2724	577
825	2725	574
826	2727	570
827	2729	566
828	2730	563
829	2732	559
830	2733	555
831	2734	552
832	2735	548
833	2736	544
834	2737	540
835	2738	537
836	2740	533
837	2741	529
838	2742	526
839	2744	522
840	2746	519
841	2747	515
842	2748	511
843	2749	508
844	2750	504
845	2752	500
846	2753	497
847	2754	493
848	2755	490
849	2756	486
850	2757	482
851	2759	479
852	2761	475
853	2762	472
854	2764	468
855	2765	465
856	2766	461
857	2767	458
858	2768	454
859	2769	450
860	2770	447
861	2771	443
862	2772	440
863	2774	436
864	2776	433
865	2777	429
866	2778	426
867	2780	422
868	2781	419
869	2782	415
870	2783	412
871	2784	408
872	2785	405
873	2787	401
874	2788	398
875	2790	394
876	2791	391
877	2793	388
878	2795	384
879	2797	381
880	2798	378
881	2799	374
882	2801	371
883	2802	367
884	2803	364
885	2805	360
886	2806	357
887	2808	354
888	2809	350
889	2811	347
890	2812	344
891	2813	340
892	2814	337
893	2815	333
894	2816	330
895	2817	327
896	2819	323
897	2821	320
898	2823	317
899	2824	313
900	2825	310
901	2827	307
902	2828	303
903	2829	300
904	2830	297
905	2832	293
906	2833	290
907	2836	287
908	2837	284
909	2839	280
910	2840	277
911	2841	274
912	2843	270
913	2844	267
914	2845	264
915	2847	261
916	2848	257
917	2850	254
918	2852	251
919	2853	248
920	2854	244
921	2855	241
922	2856	238
923	2858	235
924	2859	231
925	2860	228
926	2861	225
927	2862	222
928	2863	218
929	2865	215
930	2867	212
931	2868	209
932	2869	206
933	2870	202
934	2871	199
935	2872	196
936	2874	193
937	2875	190
938	2876	186
939	2877	183
940	2879	180
941	2881	177
942	2883	174
943	2885	171
944	2886	168
945	2888	164
946	2889	161
947	2890	158
948	2891	155
949	2893	152
950	2894	149
951	2895	145
952	2897	142
953	2898	139
954	2899	136
955	2900	133
956	2901	130
957	2902	127
958	2903	124
959	2904	121
960	2906	117
961	2907	114
962	2908	111
963	2909	108
964	2912	105
965	2913	102
966	2914	99
967	2915	96
968	2917	93
969	2918	90
970	2919	87
971	2920	84
972	2921	81
973	2922	78
974	2924	74
975	2926	71
976	2927	68
977	2929	65
978	2930	62
979	2931	59
980	2932	56
981	2933	53
982	2935	50
983	2936	47
984	2937	44
985	2939	41
986	2941	38
987	2943	35
988	2944	32
989	2946	29
990	2947	26
991	2948	23
992	2950	20
993	2951	17
994	2952	14
995	2954	11
996	2955	8
997	2957	5
998	2958	2
999	2959	0
